company_id,from_year,to_year,previous_pattern,current_pattern
LT,Mar 2019,Mar 2020,Growth Funded by Debt,Mixed
LT,Mar 2020,Mar 2021,Mixed,Reinvestor
LT,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
LTIM,Mar 2013,Mar 2014,Reinvestor,Liquidating Assets
LTIM,Mar 2014,Mar 2015,Liquidating Assets,Reinvestor
M&M,Mar 2014,Mar 2015,Growth Funded by Debt,Mixed
M&M,Mar 2018,Mar 2019,Mixed,Growth Funded by Debt
M&M,Mar 2020,Mar 2021,Growth Funded by Debt,Mixed
M&M,Mar 2021,Mar 2022,Mixed,Reinvestor
M&M,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
MOTHERSON,Mar 2014,Mar 2015,Reinvestor,Mixed
MOTHERSON,Mar 2015,Mar 2016,Mixed,Reinvestor
MOTHERSON,Mar 2016,Mar 2017,Reinvestor,Mixed
MOTHERSON,Mar 2017,Mar 2018,Mixed,Reinvestor
MOTHERSON,Mar 2023,Mar 2024,Reinvestor,Mixed
NAUKRI,Mar 2013,Mar 2014,Reinvestor,Mixed
NAUKRI,Mar 2015,Mar 2016,Mixed,Reinvestor
NAUKRI,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
NAUKRI,Mar 2020,Mar 2021,Liquidating Assets,Mixed
NESTLEIND,Dec 2018,Dec 2019,Reinvestor,Liquidating Assets
